date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:13	17325/17325	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2010:52:09%20GMT	http://duruthemes.com/demo/html/annie/dark/index.html	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/index.html	(from )
20:44:14	711/711	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Aug%202020%2015:14:13%20GMT	http://duruthemes.com/robots.txt		(from )
20:44:15	18808/18808	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Feb%202019%2021:25:48%20GMT	http://duruthemes.com/demo/html/annie/dark/images/favicon.png	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/favicon.png	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:15	71552/71552	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/annie/dark/css/animate.css	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/css/animate.css	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:16	56878/56878	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Feb%202020%2005:28:12%20GMT	http://duruthemes.com/demo/html/annie/dark/css/font-awesome.min.css	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/css/font-awesome.min.css	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:17	140936/140936	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/annie/dark/css/bootstrap.css	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/css/bootstrap.css	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:18	6870/6870	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:19%20GMT	http://duruthemes.com/demo/html/annie/dark/css/flexslider.css	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/css/flexslider.css	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:19	39302/39302	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Feb%202020%2022:00:34%20GMT	http://duruthemes.com/demo/html/annie/dark/css/style.css	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/css/style.css	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:20	41448/41448	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Feb%202020%2000:55:39%20GMT	http://duruthemes.com/demo/html/annie/dark/images/logo.png	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/logo.png	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:22	9371/9371	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202020%2010:45:57%20GMT	http://duruthemes.com/demo/html/annie/dark/about.html	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/about.html	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:24	17421/17421	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2010:52:13%20GMT	http://duruthemes.com/demo/html/annie/dark/gallery.html	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/gallery.html	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:25	8024/8024	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2010:52:25%20GMT	http://duruthemes.com/demo/html/annie/dark/blog.html	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/blog.html	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:27	6943/6943	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2010:52:16%20GMT	http://duruthemes.com/demo/html/annie/dark/contact.html	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/contact.html	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:30	12258/12258	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Sep%202019%2000:17:18%20GMT	http://duruthemes.com/demo/html/annie/dark/images/sign.png	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/sign.png	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:41	64244/64244	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2018:19:02%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/01.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/01.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:46	158958/158958	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2018:22:12%20GMT	http://duruthemes.com/demo/html/annie/dark/images/slider/01.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/slider/01.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:53	140262/140262	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:15:50%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/02.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/02.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:44:55	163959/163959	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2018:22:17%20GMT	http://duruthemes.com/demo/html/annie/dark/images/slider/02.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/slider/02.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:45:28	286694/286694	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2018:19:08%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/03.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/03.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:45:30	270848/270848	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:15:29%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/04.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/04.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:45:38	271294/271294	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:14:32%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/05.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/05.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:45:52	344981/344981	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:14:14%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/06.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/06.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:09	183107/183107	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:12:24%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/09.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/09.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:13	275343/275343	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:13:56%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/07.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/07.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:36	273844/273844	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:11:46%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/10.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/10.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:41	442337/442337	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:13:00%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/08.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/08.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:42	207844/207844	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:10:46%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/11.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/11.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:55	74416/74416	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:00:45%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/19.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/19.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:46:55	253999/253999	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:10:18%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/12.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/12.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:05	56418/56418	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:00:32%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/16.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/16.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:10	83214/83214	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:00:34%20GMT	http://duruthemes.com/demo/html/annie/dark/images/gallery/17.jpg	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/images/gallery/17.jpg	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:19	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/annie/dark/js/jquery.min.js	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/js/jquery.min.js	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:22	15413/15413	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/annie/dark/js/modernizr-2.6.2.min.js	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/js/modernizr-2.6.2.min.js	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:23	8111/8111	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/annie/dark/js/jquery.easing.1.3.js	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/js/jquery.easing.1.3.js	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:26	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/annie/dark/js/bootstrap.min.js	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/js/bootstrap.min.js	(from http://duruthemes.com/demo/html/annie/dark/index.html)
20:47:29	8835/8835	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/annie/dark/js/jquery.waypoints.min.js	C:/Users/Digital%20Monster/Desktop/paro%20website/duruthemes.com/demo/html/annie/dark/js/jquery.waypoints.min.js	(from http://duruthemes.com/demo/html/annie/dark/index.html)
